rank,code,name,price,mv_yi,pe,dy,exp_g,peg,con_roe,gpm,cetop,weight,in_gm
129,600028.SH,中国石化,5.29,6445.3,17.9,3.17,32.9,0.64,4.9,17.0,23.85,0.025,False
130,600196.SH,复星医药,22.89,610.5,18.0,1.25,17.3,0.82,7.8,50.5,8.41,0.025,True
131,600089.SH,特变电工,19.36,973.2,18.3,2.63,7.1,0.84,8.0,19.0,8.58,0.025,False
132,601001.SH,晋控煤业,18.77,303.4,18.3,4.69,33.2,0.67,11.3,40.8,13.64,0.025,True
133,603317.SH,天味食品,13.4,140.6,18.5,2.56,31.3,0.83,16.2,41.9,5.38,0.025,True
134,000422.SZ,湖北宜化,12.57,135.2,18.5,1.63,7.3,0.93,10.5,16.0,28.22,0.025,False
135,603393.SH,新天然气,25.99,106.6,18.7,2.41,16.4,0.9,9.2,41.6,23.93,0.025,True
136,600388.SH,紫金龙净,18.2,228.6,18.7,1.84,29.2,0.63,12.2,25.2,6.99,0.025,True
137,603659.SH,璞泰来,23.91,517.2,18.8,0.72,38.8,0.44,14.1,31.1,6.04,0.025,True
138,300573.SZ,兴齐眼药,41.29,142.3,18.8,0.66,36.7,0.42,32.5,81.6,5.42,0.025,True
139,688578.SH,艾力斯,115.05,504.4,18.8,0.5,34.0,0.7,29.8,96.3,4.74,0.025,True
140,600548.SH,深高速,8.23,209.9,18.9,4.59,27.9,0.89,5.3,30.6,22.12,0.025,True
141,000997.SZ,新 大 陆,20.88,209.6,19.0,1.49,8.4,0.86,13.5,35.0,901.59,0.025,True
142,600956.SH,新天绿能,7.17,323.6,19.1,2.21,11.8,0.85,7.7,20.4,20.07,0.025,False
143,600875.SH,东方电气,25.95,890.9,19.2,2.01,16.0,0.99,9.3,16.1,2.91,0.025,False
144,688016.SH,心脉医疗,90.84,113.7,19.3,1.22,16.4,1.0,13.9,72.0,4.86,0.025,True
145,002415.SZ,海康威视,35.29,3187.5,19.4,2.24,27.0,0.83,19.1,43.5,7.48,0.025,True
146,603766.SH,隆鑫通用,14.62,303.7,19.4,1.82,28.9,0.58,20.7,18.1,8.18,0.025,False
147,603218.SH,日月股份,9.79,100.9,19.5,1.89,56.3,0.33,7.7,17.2,11.33,0.025,False
148,601038.SH,一拖股份,14.32,161.0,19.5,1.51,7.7,0.91,10.5,15.4,7.43,0.025,False
149,688208.SH,道通科技,25.77,173.6,19.5,1.23,16.7,0.63,23.8,56.0,3.63,0.025,True
150,603092.SH,德力佳,42.0,167.3,19.8,,18.3,0.95,15.6,24.9,3.85,0.025,True
151,600754.SH,锦江酒店,19.2,203.5,19.8,1.15,28.9,0.71,7.0,38.7,18.31,0.025,True
152,603093.SH,南华期货,13.52,127.6,19.8,0.51,52.8,0.5,12.0,5.5,150.42,0.025,False
153,600458.SH,时代新材,11.89,110.4,19.9,1.23,23.2,0.73,7.5,14.7,18.76,0.025,False
